week_year,casos,tempmed,umidmed,casos_lag1,tempmed_lag1,umidmed_lag1
2020-12-27,20,25.28125,77.81468,,,
2020-12-20,20,26.17071428,72.3899976,20.0,25.28125,77.81468
2020-12-13,10,27.06017856,66.96531519999999,20.0,26.17071428,72.3899976
2020-12-06,22,27.94964284,61.5406328,10.0,27.06017856,66.96531519999999
2020-11-29,17,28.83910712,56.1159504,22.0,27.94964284,61.5406328
2020-11-22,21,29.7285714,50.691268,17.0,28.83910712,56.1159504
2020-11-15,22,28.0952383333333,69.6820726666667,21.0,29.7285714,50.691268
2020-11-08,17,28.7167237142857,60.9355817142857,22.0,28.0952383333333,69.6820726666667
2020-11-01,18,24.9886447142857,50.3404227142857,17.0,28.7167237142857,60.9355817142857
2020-10-25,7,26.3937927142857,66.5337061428571,18.0,24.9886447142857,50.3404227142857
2020-10-18,18,26.3333334285714,71.2608161428571,7.0,26.3937927142857,66.5337061428571
2020-10-11,19,26.3136907142857,57.1587004285714,18.0,26.3333334285714,71.2608161428571
2020-10-04,19,30.1153907142857,56.5569661428571,19.0,26.3136907142857,57.1587004285714
2020-09-27,23,33.0897954285714,40.5401837142857,19.0,30.1153907142857,56.5569661428571
2020-09-20,22,24.5087815714286,65.3168642857143,23.0,33.0897954285714,40.5401837142857
2020-09-13,25,29.4673467142857,42.6676425714286,22.0,24.5087815714286,65.3168642857143
2020-09-06,20,30.0992342857143,41.0236764285714,25.0,29.4673467142857,42.6676425714286
2020-08-30,24,27.752381,50.6414322857143,20.0,30.0992342857143,41.0236764285714
2020-08-23,16,22.6310272857143,54.1186574285714,24.0,27.752381,50.6414322857143
2020-08-16,12,18.1601192857143,89.2451834285714,16.0,22.6310272857143,54.1186574285714
2020-08-09,25,26.4891155714286,45.7599148571429,12.0,18.1601192857143,89.2451834285714
2020-08-02,15,22.4751901428571,54.937075,25.0,26.4891155714286,45.7599148571429
2020-07-26,14,23.0832024285714,64.207413,15.0,22.4751901428571,54.937075
2020-07-19,17,24.802421,49.8066,14.0,23.0832024285714,64.207413
2020-07-12,24,24.271429,65.2351987142857,17.0,24.802421,49.8066
2020-07-05,17,23.105159,62.4279345714286,24.0,24.271429,65.2351987142857
2020-06-28,12,18.5330624285714,73.5668345714286,17.0,23.105159,62.4279345714286
2020-06-21,20,22.6827381428571,67.831892,12.0,18.5330624285714,73.5668345714286
2020-06-14,21,23.1744504285714,69.0980654285714,20.0,22.6827381428571,67.831892
2020-06-07,15,25.0306121428571,71.6112088571429,21.0,23.1744504285714,69.0980654285714
2020-05-31,20,22.0982142857143,78.7537165714286,15.0,25.0306121428571,71.6112088571429
2020-05-24,18,18.6875,60.2287541428571,20.0,22.0982142857143,78.7537165714286
2020-05-17,28,23.1533614285714,65.2385754285714,18.0,18.6875,60.2287541428571
2020-05-10,33,21.0742068571429,72.950894,28.0,23.1533614285714,65.2385754285714
2020-05-03,16,20.440476,69.6287471428571,33.0,21.0742068571429,72.950894
2020-04-26,26,24.2619048571429,61.2030974285714,16.0,20.440476,69.6287471428571
2020-04-19,20,22.7142857142857,74.0579337142857,26.0,24.2619048571429,61.2030974285714
2020-04-12,19,21.6845237142857,74.6621955714286,20.0,22.7142857142857,74.0579337142857
2020-04-05,20,23.3928565714286,75.7390037142857,19.0,21.6845237142857,74.6621955714286
2020-03-29,32,24.9880951428571,79.3388505714286,20.0,23.3928565714286,75.7390037142857
2020-03-22,29,23.6607142857143,72.035607,32.0,24.9880951428571,79.3388505714286
2020-03-15,36,24.5313854285714,89.7231571428571,29.0,23.6607142857143,72.035607
2020-03-08,78,23.3488094285714,83.4126571428571,36.0,24.5313854285714,89.7231571428571
2020-03-01,82,22.2785714285714,82.10991,78.0,23.3488094285714,83.4126571428571
2020-02-23,76,22.6023811428571,92.3139128571429,82.0,22.2785714285714,82.10991
2020-02-16,110,24.9746751428571,91.9508277142857,76.0,22.6023811428571,92.3139128571429
2020-02-09,110,21.346032,95.7935602857143,110.0,24.9746751428571,91.9508277142857
2020-02-02,93,23.1269841428571,98.20467,110.0,21.346032,95.7935602857143
2020-01-26,115,26.815476,74.5784382857143,93.0,23.1269841428571,98.20467
2020-01-19,100,24.6428574285714,82.9150164285714,115.0,26.815476,74.5784382857143
2020-01-12,66,26.1726191428571,85.5539335714286,100.0,24.6428574285714,82.9150164285714
2020-01-05,44,25.365476,91.507222,66.0,26.1726191428571,85.5539335714286
2019-12-29,18,25.0555553333333,85.3039701666667,44.0,25.365476,91.507222
2019-12-22,18,22.4714285714286,90.3996121428571,18.0,25.0555553333333,85.3039701666667
2019-12-15,15,22.6317458571429,95.5342442857143,18.0,22.4714285714286,90.3996121428571
2019-12-08,22,22.5285714285714,91.6898942857143,15.0,22.6317458571429,95.5342442857143
2019-12-01,20,21.9793651428571,95.362645,22.0,22.5285714285714,91.6898942857143
2019-11-24,10,20.9095237142857,91.2953105714286,20.0,21.9793651428571,95.362645
2019-11-17,21,21.0857142857143,88.7187408571429,10.0,20.9095237142857,91.2953105714286
2019-11-10,30,22.0714285714286,94.2784635714286,21.0,21.0857142857143,88.7187408571429
2019-11-03,25,24.3,83.3288111428571,30.0,22.0714285714286,94.2784635714286
2019-10-27,25,23.7792208571429,83.7712298571429,25.0,24.3,83.3288111428571
2019-10-20,36,20.5246754285714,87.3583054285714,25.0,23.7792208571429,83.7712298571429
2019-10-13,19,23.6493505714286,79.3136072857143,36.0,20.5246754285714,87.3583054285714
2019-10-06,93,21.4129868571429,85.8435977142857,19.0,23.6493505714286,79.3136072857143
